Team 1,Team 2,Winner,Ground,Date
New Zealand,Australia,Australia,Eden Park,17/02/2005
England,Australia,England,The Rose Bowl,13/06/2005
South Africa,New Zealand,New Zealand,Wanderers Stadium,21/10/2005
Australia,South Africa,Australia,Brisbane Cricket Ground,09/01/2006
New Zealand,West Indies,New Zealand,Eden Park,16/02/2006
South Africa,Australia,South Africa,Wanderers Stadium,24/02/2006
England,Sri Lanka,Sri Lanka,The Rose Bowl,15/06/2006
England,Pakistan,Pakistan,County Ground (Bristol),28/08/2006
Bangladesh,Zimbabwe,Bangladesh,Sheikh Abu Naser Stadium,28/11/2006
South Africa,India,India,Wanderers Stadium,01/12/2006
New Zealand,Sri Lanka,Sri Lanka,Westpac Stadium,22/12/2006
New Zealand,Sri Lanka,New Zealand,Eden Park,26/12/2006
Australia,England,Australia,Sydney Cricket Ground,09/01/2007
South Africa,Pakistan,South Africa,Wanderers Stadium,02/02/2007
England,West Indies,West Indies,Kennington Oval,28/06/2007
England,West Indies,England,Kennington Oval,29/06/2007
Bangladesh,Pakistan,Pakistan,Gymkhana Club Ground,02/09/2007
South Africa,West Indies,South Africa,Wanderers Stadium,11/09/2007
Pakistan,Scotland,Pakistan,Kingsmead,12/09/2007
Australia,Zimbabwe,Zimbabwe,Newlands,12/09/2007
Bangladesh,West Indies,Bangladesh,Wanderers Stadium,13/09/2007
England,Zimbabwe,England,Newlands,13/09/2007
India,Scotland,No result,Kingsmead,13/09/2007
Australia,England,Australia,Newlands,14/09/2007
India,Pakistan,India,Kingsmead,14/09/2007
New Zealand,Sri Lanka,Sri Lanka,Wanderers Stadium,15/09/2007
South Africa,Bangladesh,South Africa,Newlands,15/09/2007
India,New Zealand,New Zealand,Wanderers Stadium,16/09/2007
Australia,Bangladesh,Australia,Newlands,16/09/2007
South Africa,England,South Africa,Newlands,16/09/2007
Pakistan,Sri Lanka,Pakistan,Wanderers Stadium,17/09/2007
England,New Zealand,New Zealand,Kingsmead,18/09/2007
Australia,Pakistan,Pakistan,Wanderers Stadium,18/09/2007
Bangladesh,Sri Lanka,Sri Lanka,Wanderers Stadium,18/09/2007
South Africa,New Zealand,South Africa,Kingsmead,19/09/2007
England,India,India,Kingsmead,19/09/2007
Australia,Sri Lanka,Australia,Newlands,20/09/2007
Bangladesh,Pakistan,Pakistan,Newlands,20/09/2007
South Africa,India,India,Kingsmead,20/09/2007
New Zealand,Pakistan,Pakistan,Newlands,22/09/2007
Australia,India,India,Kingsmead,22/09/2007
India,Pakistan,India,Wanderers Stadium,24/09/2007
India,Australia,India,Brabourne Stadium,20/10/2007
South Africa,New Zealand,South Africa,Wanderers Stadium,23/11/2007
Australia,New Zealand,Australia,WACA Ground,11/12/2007
South Africa,West Indies,West Indies,St George's Park,16/12/2007
South Africa,West Indies,South Africa,Wanderers Stadium,18/01/2008
Australia,India,Australia,Melbourne Cricket Ground,01/02/2008
New Zealand,England,England,Eden Park,05/02/2008
New Zealand,England,England,AMI Stadium,07/02/2008
Pakistan,Bangladesh,Pakistan,National Stadium (Karachi),20/04/2008
England,New Zealand,England,Old Trafford,13/06/2008
West Indies,Australia,West Indies,Kensington Oval,20/06/2008
Ireland,Scotland,Ireland,Civil Service Cricket Club,02/08/2008
Netherlands,Scotland,Netherlands,Civil Service Cricket Club,04/08/2008
Ireland,Netherlands,No result,Civil Service Cricket Club,05/08/2008
England,South Africa,Match abandoned,Riverside Ground,20/08/2008
Sri Lanka,Zimbabwe,Sri Lanka,Maple Leaf North - West Ground,10/10/2008
Pakistan,Sri Lanka,Pakistan,Maple Leaf North - West Ground,11/10/2008
Pakistan,Zimbabwe,Pakistan,Maple Leaf North - West Ground,12/10/2008
Pakistan,Sri Lanka,Sri Lanka,Maple Leaf North - West Ground,13/10/2008
South Africa,Bangladesh,South Africa,Wanderers Stadium,05/11/2008
New Zealand,West Indies,West Indies,Eden Park,26/12/2008
New Zealand,West Indies,New Zealand,Seddon Park,28/12/2008
Australia,South Africa,Australia,Melbourne Cricket Ground,11/01/2009
Australia,South Africa,Australia,Brisbane Cricket Ground,13/01/2009
Sri Lanka,India,India,R Premadasa Stadium,10/02/2009
Australia,New Zealand,Australia,Sydney Cricket Ground,15/02/2009
New Zealand,India,New Zealand,AMI Stadium,25/02/2009
New Zealand,India,New Zealand,Westpac Stadium,27/02/2009
West Indies,England,West Indies,Queen's Park Oval,15/03/2009
South Africa,Australia,South Africa,Wanderers Stadium,27/03/2009
South Africa,Australia,South Africa,SuperSport Park,29/03/2009
Pakistan,Australia,Pakistan,Dubai International Cricket Stadium,07/05/2009
England,Netherlands,Netherlands,Lord's,05/06/2009
New Zealand,Scotland,New Zealand,Kennington Oval,06/06/2009
Australia,West Indies,West Indies,Kennington Oval,06/06/2009
Bangladesh,India,India,Trent Bridge,06/06/2009
Scotland,South Africa,South Africa,Kennington Oval,07/06/2009
England,Pakistan,England,Kennington Oval,07/06/2009
Bangladesh,Ireland,Ireland,Trent Bridge,08/06/2009
Australia,Sri Lanka,Sri Lanka,Trent Bridge,08/06/2009
Netherlands,Pakistan,Pakistan,Lord's,09/06/2009
New Zealand,South Africa,South Africa,Lord's,09/06/2009
Sri Lanka,West Indies,Sri Lanka,Trent Bridge,10/06/2009
India,Ireland,India,Trent Bridge,10/06/2009
Ireland,New Zealand,New Zealand,Trent Bridge,11/06/2009
England,South Africa,South Africa,Trent Bridge,11/06/2009
Pakistan,Sri Lanka,Sri Lanka,Lord's,12/06/2009
India,West Indies,West Indies,Lord's,12/06/2009
South Africa,West Indies,South Africa,Kennington Oval,13/06/2009
New Zealand,Pakistan,Pakistan,Kennington Oval,13/06/2009
Ireland,Sri Lanka,Sri Lanka,Lord's,14/06/2009
England,India,England,Lord's,14/06/2009
Ireland,Pakistan,Pakistan,Kennington Oval,15/06/2009
England,West Indies,West Indies,Kennington Oval,15/06/2009
New Zealand,Sri Lanka,Sri Lanka,Trent Bridge,16/06/2009
India,South Africa,South Africa,Trent Bridge,16/06/2009
Pakistan,South Africa,Pakistan,Trent Bridge,18/06/2009
Sri Lanka,West Indies,Sri Lanka,Kennington Oval,19/06/2009
Pakistan,Sri Lanka,Pakistan,Lord's,21/06/2009
West Indies,Bangladesh,West Indies,Warner Park,02/08/2009
Sri Lanka,Pakistan,Pakistan,R Premadasa Stadium,12/08/2009
England,Australia,No result,Old Trafford,30/08/2009
England,Australia,Match abandoned,Old Trafford,01/09/2009
Sri Lanka,New Zealand,New Zealand,R Premadasa Stadium,02/09/2009
Sri Lanka,New Zealand,New Zealand,R Premadasa Stadium,04/09/2009
Pakistan,New Zealand,Pakistan,Dubai International Cricket Stadium,12/11/2009
South Africa,England,England,Wanderers Stadium,13/11/2009
Pakistan,New Zealand,Pakistan,Dubai International Cricket Stadium,13/11/2009
South Africa,England,South Africa,SuperSport Park,15/11/2009
India,Sri Lanka,Sri Lanka,Vidarbha Cricket Association Stadium,09/12/2009
India,Sri Lanka,India,Punjab Cricket Association IS Bindra Stadium,12/12/2009
Afghanistan,Ireland,Ireland,P Sara Oval,01/02/2010
New Zealand,Bangladesh,New Zealand,Seddon Park,03/02/2010
Australia,Pakistan,Australia,Melbourne Cricket Ground,05/02/2010
Afghanistan,Ireland,Afghanistan,Dubai International Cricket Stadium,09/02/2010
Afghanistan,Scotland,Afghanistan,Sheikh Zayed Stadium,10/02/2010
Ireland,Scotland,Ireland,Dubai International Cricket Stadium,11/02/2010
Afghanistan,Netherlands,Netherlands,Dubai International Cricket Stadium,12/02/2010
Ireland,Netherlands,Ireland,Dubai International Cricket Stadium,13/02/2010
Afghanistan,Ireland,Afghanistan,Dubai International Cricket Stadium,13/02/2010
Pakistan,England,England,Dubai International Cricket Stadium,19/02/2010
Pakistan,England,Pakistan,Dubai International Cricket Stadium,20/02/2010
Australia,West Indies,Australia,Bellerive Oval,21/02/2010
Australia,West Indies,Australia,Sydney Cricket Ground,23/02/2010
New Zealand,Australia,Australia,Westpac Stadium,26/02/2010
West Indies,Zimbabwe,Zimbabwe,Queen's Park Oval,28/02/2010
New Zealand,Australia,New Zealand,AMI Stadium,28/02/2010
New Zealand,Sri Lanka,New Zealand,Providence Stadium,30/04/2010
West Indies,Ireland,West Indies,Providence Stadium,30/04/2010
Afghanistan,India,India,Daren Sammy National Cricket Stadium,01/05/2010
Bangladesh,Pakistan,Pakistan,Daren Sammy National Cricket Stadium,01/05/2010
India,South Africa,India,Daren Sammy National Cricket Stadium,02/05/2010
Australia,Pakistan,Australia,Daren Sammy National Cricket Stadium,02/05/2010
Sri Lanka,Zimbabwe,Sri Lanka,Providence Stadium,03/05/2010
West Indies,England,West Indies,Providence Stadium,03/05/2010
New Zealand,Zimbabwe,New Zealand,Providence Stadium,04/05/2010
England,Ireland,No result,Providence Stadium,04/05/2010
Australia,Bangladesh,Australia,Kensington Oval,05/05/2010
Afghanistan,South Africa,South Africa,Kensington Oval,05/05/2010
England,Pakistan,England,Kensington Oval,06/05/2010
New Zealand,South Africa,South Africa,Kensington Oval,06/05/2010
Australia,India,Australia,Kensington Oval,07/05/2010
West Indies,Sri Lanka,Sri Lanka,Kensington Oval,07/05/2010
New Zealand,Pakistan,New Zealand,Kensington Oval,08/05/2010
England,South Africa,England,Kensington Oval,08/05/2010
West Indies,India,West Indies,Kensington Oval,09/05/2010
Australia,Sri Lanka,Australia,Kensington Oval,09/05/2010
Pakistan,South Africa,Pakistan,Daren Sammy National Cricket Stadium,10/05/2010
England,New Zealand,England,Daren Sammy National Cricket Stadium,10/05/2010
India,Sri Lanka,Sri Lanka,Daren Sammy National Cricket Stadium,11/05/2010
West Indies,Australia,Australia,Daren Sammy National Cricket Stadium,11/05/2010
England,Sri Lanka,England,Daren Sammy National Cricket Stadium,13/05/2010
Australia,Pakistan,Australia,Daren Sammy National Cricket Stadium,14/05/2010
Australia,England,England,Kensington Oval,16/05/2010
West Indies,South Africa,South Africa,Sir Vivian Richards Stadium,19/05/2010
West Indies,South Africa,South Africa,Sir Vivian Richards Stadium,20/05/2010
New Zealand,Sri Lanka,New Zealand,Central Broward Regional Park,22/05/2010
New Zealand,Sri Lanka,Sri Lanka,Central Broward Regional Park,23/05/2010
Zimbabwe,India,India,Harare Sports Club,12/06/2010
Zimbabwe,India,India,Harare Sports Club,13/06/2010
Pakistan,Australia,Pakistan,Edgbaston,05/07/2010
Pakistan,Australia,Pakistan,Edgbaston,06/07/2010
England,Pakistan,England,Sophia Gardens,05/09/2010
England,Pakistan,England,Sophia Gardens,07/09/2010
South Africa,Zimbabwe,South Africa,Mangaung Oval,08/10/2010
South Africa,Zimbabwe,South Africa,Diamond Oval,10/10/2010
Pakistan,South Africa,South Africa,Sheikh Zayed Stadium,26/10/2010
Pakistan,South Africa,South Africa,Sheikh Zayed Stadium,27/10/2010
Australia,Sri Lanka,Sri Lanka,WACA Ground,31/10/2010
New Zealand,Pakistan,New Zealand,Eden Park,26/12/2010
New Zealand,Pakistan,New Zealand,Seddon Park,28/12/2010
New Zealand,Pakistan,Pakistan,AMI Stadium,30/12/2010
South Africa,India,India,Moses Mabhida Stadium,09/01/2011
Australia,England,England,Adelaide Oval,12/01/2011
Australia,England,Australia,Melbourne Cricket Ground,14/01/2011
West Indies,Pakistan,West Indies,Daren Sammy National Cricket Stadium,21/04/2011
West Indies,India,India,Queen's Park Oval,04/06/2011
England,Sri Lanka,Sri Lanka,County Ground (Bristol),25/06/2011
Sri Lanka,Australia,Sri Lanka,Pallekele International Cricket Stadium,06/08/2011
Sri Lanka,Australia,Sri Lanka,Pallekele International Cricket Stadium,08/08/2011
England,India,England,Old Trafford,31/08/2011
Zimbabwe,Pakistan,Pakistan,Harare Sports Club,16/09/2011
Zimbabwe,Pakistan,Pakistan,Harare Sports Club,18/09/2011
England,West Indies,England,Kennington Oval,23/09/2011
England,West Indies,West Indies,Kennington Oval,25/09/2011
Bangladesh,West Indies,Bangladesh,Shere Bangla National Stadium,11/10/2011
South Africa,Australia,Australia,Newlands,13/10/2011
Zimbabwe,New Zealand,New Zealand,Harare Sports Club,15/10/2011
South Africa,Australia,South Africa,Wanderers Stadium,16/10/2011
Zimbabwe,New Zealand,New Zealand,Harare Sports Club,17/10/2011
India,England,England,Eden Gardens,29/10/2011
Pakistan,Sri Lanka,Pakistan,Sheikh Zayed Stadium,25/11/2011
Bangladesh,Pakistan,Pakistan,Shere Bangla National Stadium,29/11/2011
Australia,India,Australia,ANZ Stadium,01/02/2012
Australia,India,India,Melbourne Cricket Ground,03/02/2012
New Zealand,Zimbabwe,New Zealand,Eden Park,11/02/2012
New Zealand,Zimbabwe,New Zealand,Seddon Park,14/02/2012
New Zealand,South Africa,New Zealand,Westpac Stadium,17/02/2012
New Zealand,South Africa,South Africa,Seddon Park,19/02/2012
New Zealand,South Africa,South Africa,Eden Park,22/02/2012
Pakistan,England,Pakistan,Dubai International Cricket Stadium,23/02/2012
Pakistan,England,England,Dubai International Cricket Stadium,25/02/2012
Pakistan,England,England,Sheikh Zayed Stadium,27/02/2012
Afghanistan,Netherlands,Afghanistan,Dubai International Cricket Stadium,14/03/2012
Ireland,Scotland,Ireland,Dubai International Cricket Stadium,18/03/2012
Netherlands,Scotland,Netherlands,ICC Global Cricket Academy,22/03/2012
Ireland,Netherlands,Ireland,Dubai International Cricket Stadium,23/03/2012
Afghanistan,Ireland,Ireland,Dubai International Cricket Stadium,24/03/2012
West Indies,Australia,Australia,Daren Sammy National Cricket Stadium,27/03/2012
South Africa,India,South Africa,Wanderers Stadium,30/03/2012
West Indies,Australia,West Indies,Kensington Oval,30/03/2012
Sri Lanka,Pakistan,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,01/06/2012
Sri Lanka,Pakistan,Pakistan,Mahinda Rajapaksha International Cricket Stadium,03/06/2012
England,West Indies,England,Trent Bridge,24/06/2012
West Indies,New Zealand,West Indies,Central Broward Regional Park,30/06/2012
West Indies,New Zealand,West Indies,Central Broward Regional Park,01/07/2012
Ireland,Bangladesh,Bangladesh,Civil Service Cricket Club,18/07/2012
Ireland,Bangladesh,Bangladesh,Civil Service Cricket Club,20/07/2012
Ireland,Bangladesh,Bangladesh,Civil Service Cricket Club,21/07/2012
Bangladesh,Scotland,Scotland,Sportpark Westvliet,24/07/2012
Netherlands,Bangladesh,Bangladesh,Sportpark Westvliet,25/07/2012
Netherlands,Bangladesh,Netherlands,Sportpark Westvliet,26/07/2012
Sri Lanka,India,India,Pallekele International Cricket Stadium,07/08/2012
Pakistan,Australia,Pakistan,Dubai International Cricket Stadium,05/09/2012
Pakistan,Australia,Pakistan,Dubai International Cricket Stadium,07/09/2012
England,South Africa,South Africa,Riverside Ground,08/09/2012
India,New Zealand,Match abandoned,Dr YS Rajasekhara Reddy Cricket Stadium,08/09/2012
England,South Africa,No result,Old Trafford,10/09/2012
Pakistan,Australia,Australia,Dubai International Cricket Stadium,10/09/2012
India,New Zealand,New Zealand,MA Chidambaram Stadium,11/09/2012
England,South Africa,England,Edgbaston,12/09/2012
Sri Lanka,Zimbabwe,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,18/09/2012
Australia,Ireland,Australia,R Premadasa Stadium,19/09/2012
Afghanistan,India,India,R Premadasa Stadium,19/09/2012
South Africa,Zimbabwe,South Africa,Mahinda Rajapaksha International Cricket Stadium,20/09/2012
Bangladesh,New Zealand,New Zealand,Pallekele International Cricket Stadium,21/09/2012
Afghanistan,England,England,R Premadasa Stadium,21/09/2012
Sri Lanka,South Africa,South Africa,Mahinda Rajapaksha International Cricket Stadium,22/09/2012
Australia,West Indies,Australia,R Premadasa Stadium,22/09/2012
New Zealand,Pakistan,Pakistan,Pallekele International Cricket Stadium,23/09/2012
England,India,India,R Premadasa Stadium,23/09/2012
Ireland,West Indies,No result,R Premadasa Stadium,24/09/2012
Bangladesh,Pakistan,Pakistan,Pallekele International Cricket Stadium,25/09/2012
Sri Lanka,New Zealand,Sri Lanka,Pallekele International Cricket Stadium,27/09/2012
England,West Indies,West Indies,Pallekele International Cricket Stadium,27/09/2012
Pakistan,South Africa,Pakistan,R Premadasa Stadium,28/09/2012
Australia,India,Australia,R Premadasa Stadium,28/09/2012
England,New Zealand,England,Pallekele International Cricket Stadium,29/09/2012
Sri Lanka,West Indies,Sri Lanka,Pallekele International Cricket Stadium,29/09/2012
Australia,South Africa,Australia,R Premadasa Stadium,30/09/2012
India,Pakistan,India,R Premadasa Stadium,30/09/2012
New Zealand,West Indies,West Indies,Pallekele International Cricket Stadium,01/10/2012
Sri Lanka,England,Sri Lanka,Pallekele International Cricket Stadium,01/10/2012
Australia,Pakistan,Pakistan,R Premadasa Stadium,02/10/2012
India,South Africa,India,R Premadasa Stadium,02/10/2012
Sri Lanka,Pakistan,Sri Lanka,R Premadasa Stadium,04/10/2012
Australia,West Indies,West Indies,R Premadasa Stadium,05/10/2012
Sri Lanka,West Indies,West Indies,R Premadasa Stadium,07/10/2012
Sri Lanka,New Zealand,No result,Pallekele International Cricket Stadium,30/10/2012
Bangladesh,West Indies,West Indies,Shere Bangla National Stadium,10/12/2012
India,England,India,Maharashtra Cricket Association Stadium,20/12/2012
South Africa,New Zealand,South Africa,Kingsmead,21/12/2012
India,England,England,Wankhede Stadium,22/12/2012
South Africa,New Zealand,New Zealand,Buffalo Park,23/12/2012
India,Pakistan,Pakistan,M Chinnaswamy Stadium,25/12/2012
South Africa,New Zealand,South Africa,St George's Park,26/12/2012
India,Pakistan,India,Narendra Modi Stadium,28/12/2012
Australia,Sri Lanka,Sri Lanka,ANZ Stadium,26/01/2013
Australia,Sri Lanka,Sri Lanka,Melbourne Cricket Ground,28/01/2013
New Zealand,England,England,Eden Park,09/02/2013
New Zealand,England,New Zealand,Seddon Park,12/02/2013
Australia,West Indies,West Indies,Brisbane Cricket Ground,13/02/2013
New Zealand,England,England,Westpac Stadium,15/02/2013
South Africa,Pakistan,Match abandoned,Kingsmead,01/03/2013
West Indies,Zimbabwe,West Indies,Sir Vivian Richards Stadium,02/03/2013
Afghanistan,Scotland,Afghanistan,Sharjah Cricket Stadium,03/03/2013
South Africa,Pakistan,Pakistan,SuperSport Park,03/03/2013
West Indies,Zimbabwe,West Indies,Sir Vivian Richards Stadium,03/03/2013
Afghanistan,Scotland,Afghanistan,Sharjah Cricket Stadium,04/03/2013
Sri Lanka,Bangladesh,Sri Lanka,Pallekele International Cricket Stadium,31/03/2013
Zimbabwe,Bangladesh,Zimbabwe,Queens Sports Club,11/05/2013
Zimbabwe,Bangladesh,Bangladesh,Queens Sports Club,12/05/2013
England,New Zealand,New Zealand,Kennington Oval,25/06/2013
England,New Zealand,No result,Kennington Oval,27/06/2013
West Indies,Pakistan,Pakistan,Arnos Vale Ground,27/07/2013
West Indies,Pakistan,Pakistan,Arnos Vale Ground,28/07/2013
Sri Lanka,South Africa,South Africa,R Premadasa Stadium,02/08/2013
Sri Lanka,South Africa,South Africa,Mahinda Rajapaksha International Cricket Stadium,04/08/2013
Sri Lanka,South Africa,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,06/08/2013
Zimbabwe,Pakistan,Pakistan,Harare Sports Club,23/08/2013
Zimbabwe,Pakistan,Pakistan,Harare Sports Club,24/08/2013
England,Australia,Australia,The Rose Bowl,29/08/2013
England,Australia,England,Riverside Ground,31/08/2013
India,Australia,India,Saurashtra Cricket Association Stadium,10/10/2013
Bangladesh,New Zealand,New Zealand,Shere Bangla National Stadium,06/11/2013
Pakistan,South Africa,South Africa,Dubai International Cricket Stadium,13/11/2013
Afghanistan,Netherlands,Netherlands,Sharjah Cricket Stadium,15/11/2013
Pakistan,South Africa,South Africa,Dubai International Cricket Stadium,15/11/2013
Afghanistan,Scotland,Afghanistan,Sharjah Cricket Stadium,16/11/2013
Sri Lanka,New Zealand,Match abandoned,Pallekele International Cricket Stadium,19/11/2013
South Africa,Pakistan,South Africa,Wanderers Stadium,20/11/2013
Sri Lanka,New Zealand,Sri Lanka,Pallekele International Cricket Stadium,21/11/2013
South Africa,Pakistan,Pakistan,Newlands,22/11/2013
Netherlands,Scotland,Scotland,ICC Global Cricket Academy,22/11/2013
Netherlands,Scotland,Netherlands,Sheikh Zayed Stadium,28/11/2013
Afghanistan,Ireland,Ireland,Sheikh Zayed Stadium,30/11/2013
Afghanistan,Pakistan,Pakistan,Sharjah Cricket Stadium,08/12/2013
Pakistan,Sri Lanka,Pakistan,Dubai International Cricket Stadium,11/12/2013
Pakistan,Sri Lanka,Sri Lanka,Dubai International Cricket Stadium,13/12/2013
New Zealand,West Indies,New Zealand,Eden Park,11/01/2014
New Zealand,West Indies,New Zealand,Westpac Stadium,15/01/2014
Australia,England,Australia,Bellerive Oval,29/01/2014
Australia,England,Australia,Melbourne Cricket Ground,31/01/2014
Australia,England,Australia,ANZ Stadium,02/02/2014
Bangladesh,Sri Lanka,Sri Lanka,Zahur Ahmed Chowdhury Stadium,12/02/2014
Bangladesh,Sri Lanka,Sri Lanka,Zahur Ahmed Chowdhury Stadium,14/02/2014
West Indies,Ireland,Ireland,Sabina Park,19/02/2014
West Indies,Ireland,West Indies,Sabina Park,21/02/2014
South Africa,Australia,Match abandoned,St George's Park,09/03/2014
West Indies,England,West Indies,Kensington Oval,09/03/2014
West Indies,England,West Indies,Kensington Oval,11/03/2014
South Africa,Australia,Australia,Kingsmead,12/03/2014
West Indies,England,England,Kensington Oval,13/03/2014
South Africa,Australia,Australia,SuperSport Park,14/03/2014
Bangladesh,Afghanistan,Bangladesh,Shere Bangla National Stadium,16/03/2014
Ireland,Zimbabwe,Ireland,Sylhet Stadium,17/03/2014
Netherlands,United Arab Emirates,Netherlands,Sylhet Stadium,17/03/2014
Netherlands,Zimbabwe,Zimbabwe,Sylhet Stadium,19/03/2014
Ireland,United Arab Emirates,Ireland,Sylhet Stadium,19/03/2014
United Arab Emirates,Zimbabwe,Zimbabwe,Sylhet Stadium,20/03/2014
Ireland,Netherlands,Netherlands,Sylhet Stadium,21/03/2014
India,Pakistan,India,Shere Bangla National Stadium,21/03/2014
South Africa,Sri Lanka,Sri Lanka,Zahur Ahmed Chowdhury Stadium,22/03/2014
